IPV6 测试,#genre#
CCTV13高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225638/index.m3u8
CCTV14高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001240/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV14高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225640/index.m3u8
CCTV15高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001338/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV15高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225641/index.m3u8
CCTV16高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001248/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV16高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226230/index.m3u8
CCTV17高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001241/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV17高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225909/index.m3u8
CCTV16 4K,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001258/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV16 4K,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226233/index.m3u8
CCTV16 4K,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226230/index.m3u8


IPV6 卫视,#genre#
安徽卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001037/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
安徽卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225691/index.m3u8
天津卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001036/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
辽宁卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001035/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
江西卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001034/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
江苏卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001033/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
江苏卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225488/2/index.m3u8
